Resources Remaining,People Saved,Turns Survived,WinLose,Reason
15.828192877318893,2,17,lose,Infection
32.83230433810117,1,18,lose,Infection
88.36,1,2,lose,Infection
0.8809395650956079,3,27,lose,Starvation
3.5559344786219143,2,39,lose,Infection
68.98697810560002,1,6,lose,Infection
4.294059275798511,3,24,lose,Infection
44.736509592539825,1,13,lose,Infection
73.09139200000001,2,4,lose,Infection
22.196758482396813,2,20,lose,Infection
30.11556449309183,2,13,lose,Infection
60.956893854108166,1,8,lose,Infection
83.0584,1,3,lose,Infection
73.39040224000001,1,5,lose,Infection
73.39040224000001,1,5,lose,Infection
78.07489600000001,1,4,lose,Infection
68.98697810560002,1,6,lose,Infection
20.01355290523408,1,26,lose,Infection
68.98697810560002,1,6,lose,Infection
53.86151140948998,1,10,lose,Infection
64.84775941926401,1,7,lose,Infection
30.736625337796838,2,18,lose,Infection
0.9570057302279019,3,36,lose,Starvation
73.39040224000001,1,5,lose,Infection
88.36,1,2,lose,Infection
32.83230433810117,1,18,lose,Infection
60.956893854108166,1,8,lose,Infection
17.68397534706483,1,28,lose,Infection
37.1574290834101,1,16,lose,Infection
29.01062411314619,1,20,lose,Infection
64.058368,2,4,lose,Infection
57.066028288952324,2,8,lose,Infection
77.7568,2,3,lose,Infection
1.8237103611830618,2,37,lose,Infection
19.074909521946488,1,30,lose,Infection
41.766005355595176,1,15,lose,Infection
64.84775941926401,1,7,lose,Infection
0.7822607347828998,4,28,lose,Starvation
2.270400119918904,3,39,lose,Infection
78.07489600000001,1,4,lose,Infection
73.39040224000001,1,5,lose,Infection
34.9279833384055,1,17,lose,Infection
24.095760218393416,1,23,lose,Infection
17.68397534706483,1,28,lose,Infection
88.36,1,2,lose,Infection
2.929484744941287,2,40,win,Survived
1.901312165644102,5,26,lose,Infection
11.570240766197287,3,14,lose,Infection
78.07489600000001,1,4,lose,Infection
64.32042496000001,2,5,lose,Infection
38.572660401740194,2,9,lose,Infection
2.403564032180525,2,40,win,Survived
64.84775941926401,1,7,lose,Infection
34.9279833384055,1,17,lose,Infection
83.0584,1,3,lose,Infection
30.527354697199062,2,19,lose,Infection
42.05231901698743,1,14,lose,Infection
60.956893854108166,1,8,lose,Infection
0.9431216027824789,3,38,lose,Starvation
44.736509592539825,1,13,lose,Infection
41.371170670349926,2,10,lose,Infection
2.045020713557754,3,28,lose,Infection
56.83352749465602,2,7,lose,Infection
44.55424223793011,2,12,lose,Infection
47.592031481425344,1,12,lose,Infection
8.416163114342591,1,40,win,Survived
45.294706987950626,1,14,lose,Infection
18.965664720383625,1,28,lose,Infection
13.472652398299546,2,26,lose,Infection
0.947526426044047,3,38,lose,Starvation
68.98697810560002,1,6,lose,Infection
12.896436915156118,3,21,lose,Infection
17.16593441523796,3,23,lose,Infection
28.807757798233368,1,24,lose,Infection
78.07489600000001,1,4,lose,Infection
5.613009518025125,3,40,win,Survived
32.037834567118985,2,12,lose,Infection
78.07489600000001,1,4,lose,Infection
47.01269394357946,2,9,lose,Infection
8.441351599483664,3,28,lose,Infection
39.688920119656125,1,16,lose,Infection
6.410295556554644,3,30,lose,Infection
1.5763019660103161,3,30,lose,Infection
53.86151140948998,1,10,lose,Infection
68.98697810560002,1,6,lose,Infection
21.291013728972423,1,25,lose,Infection
21.291013728972423,1,25,lose,Infection
50.013504195297294,2,8,lose,Infection
78.07489600000001,1,4,lose,Infection
68.98697810560002,1,6,lose,Infection
5.692364623964849,2,25,lose,Infection
11.719581532379525,3,16,lose,Infection
68.98697810560002,1,6,lose,Infection
10.018489240859695,2,40,win,Survived
57.10389938045317,1,10,lose,Infection
12.979118159401493,3,18,lose,Infection
1.4180588181243912,2,40,win,Survived
60.956893854108166,1,8,lose,Infection
20.6068713415527,2,17,lose,Infection
57.299480222861675,1,9,lose,Infection
37.1574290834101,1,16,lose,Infection
64.84775941926401,1,7,lose,Infection
53.86151140948998,1,10,lose,Infection
17.61192655660599,2,27,lose,Infection
25.01350601893019,2,16,lose,Infection
73.13989810560001,1,6,lose,Infection
34.9279833384055,1,17,lose,Infection
34.9279833384055,1,17,lose,Infection
64.84775941926401,1,7,lose,Infection
68.98697810560002,1,6,lose,Infection
53.86151140948998,1,10,lose,Infection
53.86151140948998,1,10,lose,Infection
68.98697810560002,1,6,lose,Infection
44.736509592539825,1,13,lose,Infection
24.709016747537007,2,13,lose,Infection
0.8587919001657071,4,29,lose,Starvation
12.444791125341537,3,25,lose,Infection
34.9279833384055,1,17,lose,Infection
1.7172344907138397,4,27,lose,Infection
44.736509592539825,1,13,lose,Infection
8.013785677781199,2,28,lose,Infection
2.809341361819932,3,25,lose,Infection
