76.0,2,9,lose,Infection,,,,,,,,,,
88.0,1,6,lose,Infection,,,,,,,,,,
70.0,1,15,lose,Infection,,,,,,,,,,
67.0,2,12,lose,Infection,,,,,,,,,,
86.0,1,7,lose,Infection,,,,,,,,,,
38.0,3,18,lose,Infection,,,,,,,,,,
94.0,1,3,lose,Infection,,,,,,,,,,
74.0,1,13,lose,Infection,,,,,,,,,,
94.0,1,3,lose,Infection,,,,,,,,,,
80.0,1,10,lose,Infection,,,,,,,,,,
96.0,1,2,lose,Infection,,,,,,,,,,
86.0,1,7,lose,Infection,,,,,,,,,,
88.0,1,6,lose,Infection,,,,,,,,,,
84.0,1,8,lose,Infection,,,,,,,,,,
68.28,2,18,lose,Infection,,,,,,,,,,
90.0,1,5,lose,Infection,,,,,,,,,,
96.0,1,2,lose,Infection,,,,,,,,,,
85.64,1,10,lose,Infection,,,,,,,,,,
34.0,2,24,lose,Infection,,,,,,,,,,
0,2,37,lose,Starvation,,,,,,,,,,
75.0,3,9,lose,Infection,,,,,,,,,,
26.0,3,29,lose,Infection,,,,,,,,,,
62.0,1,19,lose,Infection,,,,,,,,,,
55.52799999999999,1,27,lose,Infection,,,,,,,,,,
88.0,1,6,lose,Infection,,,,,,,,,,
90.0,1,5,lose,Infection,,,,,,,,,,
86.0,1,7,lose,Infection,,,,,,,,,,
86.0,1,7,lose,Infection,,,,,,,,,,
0,3,31,lose,Starvation,,,,,,,,,,
50.040000000000006,2,27,lose,Infection,,,,,,,,,,
49.0,2,25,lose,Infection,,,,,,,,,,
88.0,1,6,lose,Infection,,,,,,,,,,
0,4,32,lose,Starvation,,,,,,,,,,
66.0,1,17,lose,Infection,,,,,,,,,,
96.0,1,2,lose,Infection,,,,,,,,,,
68.0,1,16,lose,Infection,,,,,,,,,,
88.0,1,6,lose,Infection,,,,,,,,,,
92.0,1,4,lose,Infection,,,,,,,,,,
52.92,1,26,lose,Infection,,,,,,,,,,
82.0,1,9,lose,Infection,,,,,,,,,,
36.0,2,26,lose,Infection,,,,,,,,,,
74.0,1,13,lose,Infection,,,,,,,,,,
82.0,1,9,lose,Infection,,,,,,,,,,
0,2,35,lose,Starvation,,,,,,,,,,
88.0,1,6,lose,Infection,,,,,,,,,,
26.0,4,22,lose,Infection,,,,,,,,,,
66.0,2,12,lose,Infection,,,,,,,,,,
66.0,1,17,lose,Infection,,,,,,,,,,
94.0,1,3,lose,Infection,,,,,,,,,,
86.0,1,7,lose,Infection,,,,,,,,,,
80.0,1,10,lose,Infection,,,,,,,,,,
94.0,1,3,lose,Infection,,,,,,,,,,
56.0,2,16,lose,Infection,,,,,,,,,,
68.28,2,16,lose,Infection,,,,,,,,,,
84.0,1,8,lose,Infection,,,,,,,,,,
84.0,1,8,lose,Infection,,,,,,,,,,
82.0,1,9,lose,Infection,,,,,,,,,,
70.28,2,17,lose,Infection,,,,,,,,,,
92.0,1,4,lose,Infection,,,,,,,,,,
12.0,2,40,win,Survived,,,,,,,,,,
86.0,1,7,lose,Infection,,,,,,,,,,
96.0,1,2,lose,Infection,,,,,,,,,,
0,4,25,lose,Starvation,,,,,,,,,,
42.0,3,21,lose,Infection,,,,,,,,,,
83.0,2,8,lose,Infection,,,,,,,,,,
59.6,1,22,lose,Infection,,,,,,,,,,
94.0,1,3,lose,Infection,,,,,,,,,,
0,3,38,lose,Starvation,,,,,,,,,,
94.0,1,3,lose,Infection,,,,,,,,,,
30.0,3,24,lose,Infection,,,,,,,,,,
47.884,2,28,lose,Infection,,,,,,,,,,
55.959999999999994,2,19,lose,Infection,,,,,,,,,,
0,5,30,lose,Starvation,,,,,,,,,,
82.0,1,9,lose,Infection,,,,,,,,,,
46.0,2,26,lose,Infection,,,,,,,,,,
76.0,1,12,lose,Infection,,,,,,,,,,
84.0,1,8,lose,Infection,,,,,,,,,,
0,4,33,lose,Starvation,,,,,,,,,,
58.0,1,21,lose,Infection,,,,,,,,,,
88.0,1,6,lose,Infection,,,,,,,,,,
14.78240000000001,2,40,win,Survived,,,,,,,,,,
84.0,1,8,lose,Infection,,,,,,,,,,
0,3,35,lose,Starvation,,,,,,,,,,
90.0,1,5,lose,Infection,,,,,,,,,,
37.9024,1,36,lose,Infection,,,,,,,,,,
82.0,1,9,lose,Infection,,,,,,,,,,
47.0,2,19,lose,Infection,,,,,,,,,,
0,4,31,lose,Starvation,,,,,,,,,,
86.0,1,7,lose,Infection,,,,,,,,,,
63.0,2,18,lose,Infection,,,,,,,,,,
92.0,1,4,lose,Infection,,,,,,,,,,
61.0,2,19,lose,Infection,,,,,,,,,,
62.0,2,17,lose,Infection,,,,,,,,,,
45.0,2,27,lose,Infection,,,,,,,,,,
60.0,1,20,lose,Infection,,,,,,,,,,
84.0,1,8,lose,Infection,,,,,,,,,,
0,3,36,lose,Starvation,,,,,,,,,,
68.0,1,16,lose,Infection,,,,,,,,,,
57.0,2,21,lose,Infection,,,,,,,,,,
49.48,1,27,lose,Infection,,,,,,,,,,
14.0,2,40,win,Survived,,,,,,,,,,
86.0,1,7,lose,Infection,,,,,,,,,,
0,3,34,lose,Starvation,,,,,,,,,,
0,4,34,lose,Starvation,,,,,,,,,,
69.0,2,13,lose,Infection,,,,,,,,,,
70.0,1,15,lose,Infection,,,,,,,,,,
